# throttle_high=60.0,throttle_low=10.0,rpm_min=3000.0,min_gear=1,max_gear=2,cooldown_ms=2000,speed12=50.0,speed23=65.0
ms,tps,rpm,speed
612288,0.8,1155.5,23.0
612711,2.4,1152.0,9.0
613131,2.7,1230.0,10.0
613551,5.9,1309.0,10.0
613971,8.2,1443.5,11.0
614391,9.0,1603.5,12.0
614811,47.1,1858.5,14.0
615231,46.7,2279.0,18.0
615651,64.7,2694.5,21.0
616071,67.5,3388.5,25.0
616491,70.2,3851.0,28.0
616911,74.9,4332.5,32.0
617331,75.3,4860.5,36.0
617751,75.3,5372.5,40.0
618196,5.5,5066.5,44.0
618611,72.2,4127.5,45.0
619031,63.1,3598.5,50.0
619451,65.1,3792.5,54.0
619871,68.6,4147.5,57.0
620291,47.1,4006.0,60.0
620712,4.7,3606.5,59.0
621132,4.7,2680.5,59.0
621552,3.1,2471.5,58.0
621972,3.1,2377.5,56.0
622392,3.1,2224.5,53.0
622812,2.7,2078.5,47.0
623232,2.7,1922.0,44.0
623652,2.4,1774.5,40.0
624072,2.0,1613.0,37.0
624492,2.0,1596.5,36.0
624912,1.6,1577.5,36.0
625332,5.5,1561.5,34.0
625752,4.7,1551.0,35.0
626192,5.5,1563.5,35.0
626612,5.1,1569.5,35.0
627032,5.5,1572.5,35.0
627452,5.9,1581.5,36.0
627872,7.1,1590.5,36.0
628292,0.0,1576.5,36.0
628712,2.0,1573.0,36.0
629132,2.4,1552.0,35.0
629552,2.4,1541.0,35.0
629972,2.0,1528.0,35.0
630392,2.0,1514.0,34.0
630812,2.0,1491.0,34.0
631232,2.0,1475.5,33.0
631652,2.0,1461.5,33.0
632072,2.0,1436.0,32.0
632512,2.0,1417.5,32.0
632932,2.0,1390.5,32.0
633352,2.0,1343.0,31.0
633773,1.6,1285.0,30.0
634193,1.6,1202.5,28.0
634613,1.6,1111.5,25.0
635033,1.2,1048.5,23.0
635453,0.8,1052.0,23.0
635873,0.8,1048.0,23.0
636293,0.8,1028.0,23.0
636713,0.8,1029.5,23.0
637133,1.6,1043.0,23.0
637553,1.2,1041.0,23.0
637973,0.8,1049.0,23.0
638393,0.8,1041.0,23.0
638813,0.8,1041.0,23.0
639233,0.8,1037.0,23.0
639653,0.8,1041.0,23.0
640073,0.8,1007.0,23.0
